"Dataset Index","Dose","N","Effect"
"ID28","75","50","32"
"ID29","0","50","3"
"ID29","25","50","1"
"ID29","50","50","11"
"ID29","75","50","23"
"ID30","0","50","3"
"ID30","25","50","2"
"ID30","50","50","9"
"ID30","75","50","25"
"ID31","0","50","2"
"ID31","25","50","6"
"ID31","50","50","21"
"ID31","75","50","22"
"ID32","0","50","1"
"ID32","25","50","2"
"ID32","50","50","11"
"ID32","75","50","28"
"ID33","0","50","1"
"ID33","25","50","2"
"ID33","50","50","19"
"ID33","75","50","27"
"ID34","0","50","0"
"ID34","25","50","3"
"ID34","50","50","17"
"ID34","75","50","28"
"ID35","0","50","2"
"ID35","25","50","4"
"ID35","50","50","14"
"ID35","75","50","24"
"ID36","0","50","1"
"ID36","25","50","7"
"ID36","50","50","11"
"ID36","75","50","28"
"ID37","0","50","1"
"ID37","25","50","4"
"ID37","50","50","15"
"ID37","75","50","27"
"ID38","0","50","3"
"ID38","25","50","3"
"ID38","50","50","12"
"ID38","75","50","31"
"ID39","0","50","0"
"ID39","25","50","5"
"ID39","50","50","11"
"ID39","75","50","20"
"ID40","0","50","1"
"ID40","25","50","10"
"ID40","50","50","12"
"ID40","75","50","28"
"ID41","0","50","1"
"ID41","25","50","3"
"ID41","50","50","12"
"ID41","75","50","31"
"ID42","0","50","0"
"ID42","25","50","4"
"ID42","50","50","12"
"ID42","75","50","33"
"ID43","0","50","2"
"ID43","25","50","2"
"ID43","50","50","15"
"ID43","75","50","27"
"ID44","0","50","1"
"ID44","25","50","3"
"ID44","50","50","12"
"ID44","75","50","26"
"ID45","0","50","1"
"ID45","25","50","3"
"ID45","50","50","9"
"ID45","75","50","30"
"ID46","0","50","1"
"ID46","25","50","2"
"ID46","50","50","14"
"ID46","75","50","33"
"ID47","0","50","3"
"ID47","25","50","0"
"ID47","50","50","16"
"ID47","75","50","27"
"ID48","0","50","0"
"ID48","25","50","4"
"ID48","50","50","14"
"ID48","75","50","19"
"ID49","0","50","0"
"ID49","25","50","5"
"ID49","50","50","16"
"ID49","75","50","25"
"ID50","0","50","2"
"ID50","25","50","4"
"ID50","50","50","20"
"ID50","75","50","27"
"ID51","0","50","1"
"ID51","25","50","3"
"ID51","50","50","11"
"ID51","75","50","25"
"ID52","0","50","1"
"ID52","25","50","4"
"ID52","50","50","11"
"ID52","75","50","29"
"ID53","0","50","0"
"ID53","25","50","8"
"ID53","50","50","13"
"ID53","75","50","30"
"ID54","0","50","0"
"ID54","25","50","4"
"ID54","50","50","13"
"ID54","75","50","23"
"ID55","0","50","1"
"ID55","25","50","4"
"ID55","50","50","13"
"ID55","75","50","24"
"ID56","0","50","1"
"ID56","25","50","0"
"ID56","50","50","11"
"ID56","75","50","30"
"ID57","0","50","0"
"ID57","25","50","3"
"ID57","50","50","16"
"ID57","75","50","29"
"ID58","0","50","1"
"ID58","25","50","3"
"ID58","50","50","15"
"ID58","75","50","27"
"ID59","0","50","0"
"ID59","25","50","5"
"ID59","50","50","13"
"ID59","75","50","31"
"ID60","0","50","2"
"ID60","25","50","2"
"ID60","50","50","13"
"ID60","75","50","20"
"ID61","0","50","1"
"ID61","25","50","2"
"ID61","50","50","10"
"ID61","75","50","26"
"ID62","0","50","3"
"ID62","25","50","3"
"ID62","50","50","15"
"ID62","75","50","27"
"ID63","0","50","3"
"ID63","25","50","5"
"ID63","50","50","13"
"ID63","75","50","27"
"ID64","0","50","0"
"ID64","25","50","2"
"ID64","50","50","8"
"ID64","75","50","27"
"ID65","0","50","0"
"ID65","25","50","0"
"ID65","50","50","14"
"ID65","75","50","28"
"ID66","0","50","2"
"ID66","25","50","0"
"ID66","50","50","14"
"ID66","75","50","30"
"ID67","0","50","0"
"ID67","25","50","1"
"ID67","50","50","15"
"ID67","75","50","35"
"ID68","0","50","0"
"ID68","25","50","4"
"ID68","50","50","12"
"ID68","75","50","26"
"ID69","0","50","1"
"ID69","25","50","5"
"ID69","50","50","7"
"ID69","75","50","28"
"ID70","0","50","2"
"ID70","25","50","3"
"ID70","50","50","11"
"ID70","75","50","29"
"ID71","0","50","1"
"ID71","25","50","3"
"ID71","50","50","17"
"ID71","75","50","25"
"ID72","0","50","2"
"ID72","25","50","2"
"ID72","50","50","13"
"ID72","75","50","30"
"ID73","0","50","1"
"ID73","25","50","5"
"ID73","50","50","14"
"ID73","75","50","29"
"ID74","0","50","3"
"ID74","25","50","2"
"ID74","50","50","14"
"ID74","75","50","26"
"ID75","0","50","1"
"ID75","25","50","1"
"ID75","50","50","14"
"ID75","75","50","30"
"ID76","0","50","0"
"ID76","25","50","7"
"ID76","50","50","13"
"ID76","75","50","29"
"ID77","0","50","3"
"ID77","25","50","3"
"ID77","50","50","10"
"ID77","75","50","20"
"ID78","0","50","1"
"ID78","25","50","4"
"ID78","50","50","17"
"ID78","75","50","26"
"ID79","0","50","1"
"ID79","25","50","3"
"ID79","50","50","10"
"ID79","75","50","31"
"ID80","0","50","0"
"ID80","25","50","3"
"ID80","50","50","12"
"ID80","75","50","25"
"ID81","0","50","0"
"ID81","25","50","5"
"ID81","50","50","12"
"ID81","75","50","32"
"ID82","0","50","0"
"ID82","25","50","3"
"ID82","50","50","12"
"ID82","75","50","31"
"ID83","0","50","1"
"ID83","25","50","6"
"ID83","50","50","15"
"ID83","75","50","24"
"ID84","0","50","3"
"ID84","25","50","2"
"ID84","50","50","13"
"ID84","75","50","29"
"ID85","0","50","1"
"ID85","25","50","0"
"ID85","50","50","18"
"ID85","75","50","29"
"ID86","0","50","3"
"ID86","25","50","2"
"ID86","50","50","13"
"ID86","75","50","21"
"ID87","0","50","1"
"ID87","25","50","2"
"ID87","50","50","8"
"ID87","75","50","26"
"ID88","0","50","3"
"ID88","25","50","1"
"ID88","50","50","10"
"ID88","75","50","26"
"ID89","0","50","0"
"ID89","25","50","4"
"ID89","50","50","23"
"ID89","75","50","22"
"ID90","0","50","1"
"ID90","25","50","4"
"ID90","50","50","13"
"ID90","75","50","25"
"ID91","0","50","0"
"ID91","25","50","3"
"ID91","50","50","13"
"ID91","75","50","30"
"ID92","0","50","2"
"ID92","25","50","7"
"ID92","50","50","14"
"ID92","75","50","31"
"ID93","0","50","2"
"ID93","25","50","4"
"ID93","50","50","19"
"ID93","75","50","30"
"ID94","0","50","2"
"ID94","25","50","3"
"ID94","50","50","11"
"ID94","75","50","29"
"ID95","0","50","2"
"ID95","25","50","1"
"ID95","50","50","12"
"ID95","75","50","27"
"ID96","0","50","0"
"ID96","25","50","2"
"ID96","50","50","5"
"ID96","75","50","32"
"ID97","0","50","0"
"ID97","25","50","1"
"ID97","50","50","14"
"ID97","75","50","31"
"ID98","0","50","4"
"ID98","25","50","6"
"ID98","50","50","14"
"ID98","75","50","26"
"ID99","0","50","2"
"ID99","25","50","4"
"ID99","50","50","10"
"ID99","75","50","23"
"ID100","0","50","1"
"ID100","25","50","3"
"ID100","50","50","7"
"ID100","75","50","29"
